cell_id,cell_lat,cell_lon,city,sector_main,entity_count_real,entity_count_total,density_log,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,zone_name,district,region_name,display_name
2442_-432,33.001374,-7.617374,Settat,Finance,20,20,3.044522437723423,0.5,200000.0,200000.0,200000.0,0.8246282058258934,0.05,0,1,42.1,Faible,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Healthcare,19,19,2.995732273553991,0.5,100000.0,216569.2307692308,1000000.0,0.8246282058258934,0.0,0,0,40.83,Faible,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Information Technology,65,65,4.189654742026425,0.8,100000.0,1781719.53125,100000000.0,0.8246282058258934,0.3538461538461538,19,4,71.46,Fort,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Manufacturing,15,15,2.772588722239781,0.8,150000.0,631428.5714285715,3000000.0,0.8246282058258934,0.4666666666666667,5,2,58.76,Moyen,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Other,67,67,4.219507705176107,0.8,100000.0,745274.2857142857,12500000.0,0.8246282058258934,0.1044776119402985,6,1,69.56,Fort,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Professional Services,25,25,3.258096538021482,0.7142857142857143,100000.0,215714.2857142857,1000000.0,0.8246282058258934,0.08,0,2,55.41,Moyen,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Real Estate,6,6,1.9459101490553128,1.0,100000.0,133333.33333333334,200000.0,0.8246282058258934,0.3333333333333333,1,1,59.87,Moyen,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Tourism & Hospitality,8,8,2.19722457733622,0.8333333333333334,95000.0,141666.66666666666,500000.0,0.8246282058258934,0.0,0,0,50.59,Faible,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Transport,10,10,2.3978952727983707,0.7,100000.0,78888.88888888889,200000.0,0.8246282058258934,0.1,1,0,46.41,Faible,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-433,33.00545,-7.631115,Settat,Commerce,4,4,1.6094379124341005,1.0,100000.0,156666.66666666666,320000.0,0.7820695495403381,0.5,2,0,57.29,Moyen,Hay Kassam,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Kassam - Settat ⵥⵟⵟⴰⵟ سطات
