cell_id,cell_lat,cell_lon,city,entity_count_real,entity_count_total,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,n_sectors_present,dominant_sector,density_log,cluster_label
2481_-434,33.527577,-7.647096,Casablanca,3,3,1.0,10000.0,40000.0,100000.0,0.9165164431996026,0.0,0,0,52.76,Faible,1,Transport,1.3862943611198906,1
2481_-435,33.532301,-7.6734,Casablanca,41,41,0.8893772893772894,100000.0,374498.83449883445,2000000.0,0.8375171494618088,0.18754578754578752,8,0,54.572,Faible,5,Construction,3.7376696182833684,1
2481_-436,33.52874,-7.67861,Casablanca,106,106,0.9457631257631257,100000.0,445263.86102717626,10000000.0,0.8141835606303511,0.1484508547008547,12,5,63.096666666666664,Fort,6,Construction,4.672828834461906,2
2481_-440,33.5358896774,-7.76283092418,Casablanca,3,3,1.0,100000.0,113333.33333333331,220000.0,0.8112781244591328,0.0,0,0,51.22,Faible,1,Construction,1.3862943611198906,1
2482_-424,33.5501392627,-7.46833603092,Casablanca,3,3,0.6666666666666666,100000.0,171666.66666666666,400000.0,0.946265187221801,0.0,0,0,36.01,Faible,1,Construction,1.3862943611198906,0
2482_-425,33.551321,-7.4860065,Casablanca,3,3,0.6666666666666666,100000.0,140000.0,300000.0,0.9283832117695864,0.3333333333333333,1,0,38.63,Faible,1,Commerce,1.3862943611198906,1
2482_-427,33.541008,-7.528538,Casablanca,17,17,0.8958333333333334,100000.0,174583.33333333334,2000000.0,0.9282033899348906,0.25,4,0,52.442499999999995,Faible,4,Commerce,2.8903717578961645,1
2482_-428,33.5480365,-7.5499209,Casablanca,17,17,0.8333333333333334,100000.0,132856.41025641028,1000000.0,0.8373905219836196,0.13333333333333333,2,0,48.97,Moyen,3,Healthcare,2.8903717578961645,1
2482_-429,33.54887,-7.567631,Casablanca,68,68,0.8270833333333333,100000.0,168258.65384615384,2500000.0,0.8724529087361078,0.12083333333333332,8,1,51.22375,Faible,8,Commerce,4.23410650459726,2
2482_-430,33.5469495109,-7.575181499999999,Casablanca,212,212,0.9528408585656486,100000.0,321815.10497439065,30000000.0,0.749551893515373,0.30197728664115214,49,6,67.26,Fort,7,Commerce,5.3612921657094255,2
2482_-431,33.547838,-7.5944172,Casablanca,112,112,0.8398809523809524,100000.0,369344.9654049654,6400000.0,0.8920440631478675,0.2213888888888889,22,5,55.385000000000005,Moyen,10,Construction,4.727387818712341,2
2482_-432,33.5499018,-7.6164733,Casablanca,67,67,0.7275132275132274,100000.0,315943.95604395604,10000000.0,0.821874241312338,0.14285714285714285,5,1,43.376666666666665,Faible,9,Healthcare,4.219507705176107,2
2482_-433,33.54271,-7.63942,Casablanca,33,33,0.9583333333333334,137500.0,564717.3484848485,8047300.0,0.8052250178396807,0.08522727272727272,2,2,57.4025,Moyen,4,Information Technology,3.5263605246161616,1
2482_-435,33.55126,-7.673708,Casablanca,4,4,1.0,100000.0,577500.0,2100000.0,0.898244401703927,0.25,1,0,57.14,Moyen,1,Commerce,1.6094379124341003,1
2482_-436,33.5493765355,-7.68502274798,Casablanca,105,105,0.9154545454545455,100000.0,156157.41866828824,1310400.0,0.8734159027912879,0.21929347826086956,21,2,60.59125,Fort,8,Construction,4.663439094112067,2
2482_-437,33.54227085,-7.70242659632,Casablanca,3,3,0.6666666666666666,100000.0,733333.3333333334,2000000.0,0.8962406251802891,0.0,0,0,35.13,Faible,1,Construction,1.3862943611198906,0
2482_-438,33.5443948,-7.7193985,Casablanca,20,20,0.5,100000.0,215523.0769230769,1500000.0,0.9197173235750932,0.0,0,0,32.38666666666666,Faible,3,Other,3.044522437723423,0
2483_-425,33.557174,-7.484752,Casablanca,60,60,0.9866666666666667,100000.0,414716.0217560218,10000000.0,0.862959905746839,0.28390054390054387,15,1,65.418,Moyen,5,Other,4.110873864173311,1
2483_-426,33.5673856,-7.5105254,Settat,24,24,0.5,100000.0,220384.18803418803,1500000.0,0.7639302025561887,0.0,0,0,30.36,Faible,3,Healthcare,3.2188758248682006,0
2483_-428,33.555903,-7.552163,Casablanca,131,131,0.9194775132275133,100000.0,715967.0220652363,44350500.0,0.8809752304720969,0.17449924414210125,21,2,63.707142857142856,Fort,7,Construction,4.882801922586371,2
2483_-429,33.565144,-7.56361,Casablanca,149,149,0.8273015873015872,100000.0,368005.6979938666,13505500.0,0.8787776086020911,0.19632505175983436,24,4,56.172000000000004,Faible,10,Commerce,5.0106352940962555,2
2483_-430,33.5641896,-7.5829,Casablanca,149,149,0.8811283567381127,100000.0,635363.9972706639,75000000.0,0.8734417909084813,0.2247318540210697,26,10,59.833333333333336,Fort,9,Commerce,5.0106352940962555,2
2483_-431,33.5636800729,-7.595563,Casablanca,228,228,0.9218815120985102,100000.0,482733.42948717956,30000000.0,0.7644528284487903,0.1919396353874955,50,13,62.33444444444444,Fort,9,Commerce,5.43372200355424,2
2483_-432,33.562433,-7.60967460878,Casablanca,136,136,0.8154727350129649,100000.0,585477.8622611957,28560000.0,0.7901875476758264,0.15069178373776074,27,4,52.693333333333335,Faible,9,Commerce,4.919980925828125,2
2483_-433,33.561425,-7.63568,Casablanca,141,141,0.896548169275442,100000.0,459822.1960471961,10000000.0,0.8511543806501343,0.37808956256849824,38,18,59.407272727272726,Moyen,11,Commerce,4.955827057601261,2
2483_-434,33.5659309,-7.64455,Casablanca,99,99,0.8690476190476191,100000.0,422244.6988196988,10000000.0,0.8084933981670414,0.19854953475643128,22,6,55.16,Faible,8,Commerce,4.605170185988092,2
2483_-435,33.55672,-7.667043,Casablanca,229,229,0.9215084974363309,100000.0,409205.40692786156,30000000.0,0.8571648596986073,0.22896480333251376,39,9,66.03875,Fort,8,Commerce,5.438079308923196,2
2483_-436,33.5564236661,-7.67990817114,Casablanca,457,457,0.8020332916559331,100000.0,290042.25883340463,44350500.0,0.8109261345155877,0.1603213938554221,99,4,60.85545454545454,Fort,11,Commerce,6.126869184114185,2
2484_-427,33.574167,-7.529722,Casablanca,57,57,0.9623015873015873,100000.0,263804.5288045288,10000000.0,0.8413994957872383,0.24503968253968253,13,1,60.08166666666667,Moyen,6,Construction,4.060443010546419,1
2484_-428,33.573358,-7.551358499999999,Casablanca,268,268,0.8285089824841378,100000.0,478905.6196011736,44350500.0,0.825142359368305,0.19677350359873155,61,10,59.245000000000005,Fort,10,Commerce,5.594711379601839,2
