entity_count_real,entity_count_total,density_log,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,vitality,weighted_capital,gps_quality,city_avg_density,city_avg_active,city_avg_capital,city_n_sectors,rel_density,rel_capital,city_Casablanca,city_El Jadida,city_Mohammedia,city_Settat,sector_main_Commerce,sector_main_Construction,sector_main_Education,sector_main_Finance,sector_main_Healthcare,sector_main_Information Technology,sector_main_Manufacturing,sector_main_Other,sector_main_Professional Services,sector_main_Real Estate,sector_main_Tourism & Hospitality,sector_main_Transport
-0.054933414,0.0057850587,0.0,0.49895424,-0.098475605,0.03141357,-0.1193907,-0.0032478815,0.26493025,0.6798963,0.0696189,17.651043,0.18977353,0.0012775246,0.003521849,0.0067387037,-0.00055595714,-0.00021559431,0.100202195,-0.0004691947,0.0,0.0,0.0,0.0,-0.0043529165,0.0020010541,0.0006565613,0.004285949,-0.0012231702,-0.013994741,-0.0019317026,0.0022928037,-0.0031414807,0.008653601,-0.0003182199,0.0053268583
-0.13752924,-0.01478924,0.0,2.2172422,-0.31079876,-0.14419432,-0.052437305,0.7717473,0.5121443,-0.15726082,-0.037651874,-3.4261625,-0.17516695,0.00051235216,0.0042576934,0.0048181238,-0.0008033866,-0.00014643137,-0.063214354,-0.0018131698,0.0,0.0,0.0,0.0,-0.0045191394,0.0050391224,-0.002769756,0.0018029934,-0.00045729533,0.001213214,-0.008972097,-0.0019501032,0.054029893,0.005167059,-0.0036705842,0.0038135983
0.72497326,0.13871908,0.0,-1.7449687,-0.068707295,0.019350396,0.0059307558,-0.87395895,-0.6383005,-0.1081356,-0.031876918,13.7848425,-0.0996585,0.008038222,-0.07844597,-0.016983189,0.00091123284,-0.00019834038,0.8541861,-0.010847015,0.0,0.0,0.0,0.0,-0.007925602,-0.0012819964,-0.0050712763,0.0035304842,-0.028189639,0.002967603,-0.001261562,0.0008528475,0.0031741604,0.004939338,-0.00011222052,0.012533168
-0.14559264,-0.00794654,0.0,1.6982954,-0.19150335,-0.1331167,0.042570923,-0.21944602,1.9072528,-0.0416875,-0.004364757,2.3809674,0.33355764,0.00051235216,0.003151491,0.004559918,-0.0008957537,-0.00021957872,-0.04743275,-0.0006763308,0.0,0.0,0.0,0.0,-0.003216081,0.0070890877,-0.0005478263,0.0015314595,-0.00079789857,-0.012856102,-0.005256831,0.000318738,0.034852132,0.006445881,-0.0017850009,0.0060580545
0.48323867,0.016682545,0.0,0.91344166,-0.070877016,0.013732141,0.012173001,0.355326,1.2324234,1.2728149,0.19529378,29.391823,0.26314053,0.0026254081,0.00068308646,0.0047193207,-0.0005519203,-0.00038074047,0.3433956,0.0024560012,0.0,0.0,0.0,0.0,0.06565683,0.0067836135,0.0005830147,0.0013217566,-0.0012727623,0.076735124,-0.002404474,-0.0001406577,-0.0038100109,0.014554832,-0.00093482353,0.0053547425
-0.076147005,-0.00798642,0.0,1.3653529,0.6273224,0.112355664,-0.05095934,-0.6621464,0.60268503,-0.0587967,-0.010397818,8.76672,0.72666794,0.00051235216,0.00024312848,0.0040593618,-0.0008670229,-0.00029018996,0.022585483,0.013155393,0.0,0.0,0.0,0.0,-0.0056762258,0.016646372,-0.00085995824,0.0051065367,0.00014967952,0.0004988466,-0.001706871,-0.001967043,0.0017795574,0.006481236,-0.0031120605,0.012904643
0.0069741183,0.010192326,0.0,0.7961466,-0.10052293,-0.10551863,0.019654147,-0.089467056,0.2969657,-0.11211071,0.076847345,16.854935,0.21315491,0.0012775246,0.0059492444,0.0050363424,-0.0005644713,-0.00032355957,-0.0077491645,0.0015584107,0.0,0.0,0.0,0.0,0.046916697,0.0037549047,-5.646143e-06,0.0028225803,-0.0009422378,0.0022704974,-0.0038176754,0.0008835898,-0.0029387586,0.004830443,-3.5994148e-05,0.00435516
0.0018279707,-0.014345588,0.0,-0.22447135,-0.22327432,-0.100292906,-0.0025389486,0.82075673,0.83266515,-0.23931494,0.0101753585,1.2556689,-0.22476666,0.00051235216,0.0068112873,0.0043469514,-0.0008550678,-0.00017981285,0.039641574,-0.0014283867,0.0,0.0,0.0,0.0,-0.0016650632,0.0035237924,-0.0001155169,0.0029962123,-0.00061338407,0.001337083,-0.0064546014,0.0020219125,-0.003957053,0.0036917995,-0.0024226692,-0.029793615
-0.027749399,-0.008665514,0.0,1.4699146,-0.17972872,-0.030946145,0.067996494,-0.7741218,-1.2358462,-0.21901836,-0.032716814,3.6412985,0.2715802,0.00051235216,0.002181154,0.0049612983,-0.0009075975,-0.0003569529,0.028988836,-0.001353152,0.0,0.0,0.0,0.0,-0.003562565,0.004031649,-0.002261377,0.0015231847,-0.0008549539,0.0120525565,-0.0019467163,-2.5702728e-05,0.0047140215,0.0008429068,-0.0015149241,0.0053735594
-0.21304469,-0.013789752,0.0,1.4113263,-0.2320143,-0.11287191,-0.016796473,-0.73522353,-1.0496708,-0.26767978,-0.033980172,2.856929,-0.116707526,0.00051235216,-0.0050748554,0.005304637,-0.0007675569,-9.829911e-05,-0.07829856,-0.0011182593,0.0,0.0,0.0,0.0,-0.007211623,0.0018110492,-0.002623125,-0.036583856,0.00071859924,0.008997227,-0.0017305267,-0.00015621237,0.003643933,0.0016659123,-0.00275572,0.002795452
-0.044845264,-0.0073384824,0.0,0.87264705,-0.117769495,-0.041515183,0.0013422057,0.62069875,-0.49484634,-0.08327702,-0.06845827,7.206555,0.35204595,0.00051235216,0.0064732092,0.005777702,-0.00055547844,-0.00013496431,-0.043280397,-0.0005646124,0.0,0.0,0.0,0.0,-0.012586792,-0.04209245,0.0004797978,0.0050795623,-0.00045821336,0.004304215,-0.0038396097,0.00090939825,-0.002884459,0.0016273187,-0.0030773494,0.0047485954
-0.056792628,-0.00641123,0.0,2.1990557,-0.2392788,-0.35417697,0.03270713,0.31819,2.9893854,-0.07702543,0.0025670868,-2.1425695,0.32459873,0.00051235216,0.00066776964,0.0048991116,-0.00083096855,-0.00027711445,-0.08982263,0.00012847364,0.0,0.0,0.0,0.0,-0.015233339,0.006916738,-0.0019787755,0.0014597632,-0.0009896865,9.634949e-05,0.056796864,-0.010745754,0.0018406621,0.006749155,-0.0015203808,0.006016912
-0.1762839,-0.010818407,0.0,-2.434772,-0.08524679,-0.010516294,0.008100865,0.54176515,-0.5648801,-0.21512477,-0.022138612,-28.532606,-0.005796303,0.00051235216,0.004229148,0.0794827,-0.010442924,-0.00029844692,-0.09845625,-0.001224375,0.0,0.0,0.0,0.0,-0.004144557,0.0026617437,-0.00096306857,-0.047813732,-0.0006985213,0.002825107,-0.008760011,0.0008443312,-0.0008330828,0.00047392186,-0.0043463153,0.00079792953
-0.16653676,-0.00806755,0.0,0.5605698,-0.14209986,-0.025263391,-0.017555472,-1.1336794,1.7440709,-0.12958787,-0.05471916,3.0528767,0.14849846,0.00051235216,-0.0896825,0.0060075587,-0.0011752279,0.005421941,-0.0673023,-0.0015467181,0.0,0.0,0.0,0.0,-0.006892615,0.0104310755,-0.0029422143,0.003055394,-8.463422e-06,-0.041454088,-0.0050267577,0.002516897,0.038592894,0.0024051592,-0.00017093254,0.0059845382
2.4523308,0.14514434,0.0,-1.2796689,-0.069883764,-0.013717474,-0.023824558,0.44879514,-0.27813733,1.639848,0.10505194,24.343674,-0.10825824,-0.05832802,0.0035491332,0.0076235095,-0.0005469643,-0.0003903383,0.3301656,-0.0010517522,0.0,0.0,0.0,0.0,-0.006798025,0.0020354248,0.00036003537,0.004247313,-0.0006054047,0.07580031,-0.004352356,-0.015580727,-0.0031665138,0.003974926,-0.001402059,0.0055834046
-0.051997565,-0.006227634,0.0,1.1872141,-0.12984449,-0.049715545,-0.01153353,-0.19383994,0.5445167,-0.06787735,-0.013463195,5.9640436,0.40304708,0.00051235216,0.0026017523,0.004383598,-0.0008690167,-0.00029499544,0.030132962,0.0019932876,0.0,0.0,0.0,0.0,0.050228313,0.0038765622,0.00058194605,0.005117067,-0.0007702011,0.009317165,-0.0040391637,0.005679327,0.0013905714,0.004633484,-0.0014469066,0.014534306
-0.21713452,0.031620562,0.0,-4.4741945,-0.18388057,0.08988464,0.05651335,-0.18029465,1.3228124,0.026368642,-0.012406274,-8.668586,-0.14269978,0.00051235216,0.007419365,0.005982483,-0.0007231075,-0.00070225366,0.021899011,0.0003743233,0.0,0.0,0.0,0.0,0.05570522,0.002116249,0.00018022032,0.0030107975,-0.0015019296,0.0017170666,-0.0037414203,0.0034095114,-0.00021655844,0.0014738272,-0.001313821,-0.0019069148
